Tool,dt_start,dt_end,Duration
iTerm2,2021-04-23 14:54:15,2021-04-23 14:54:42,0 days 00:00:27
VSCode,2021-04-23 14:54:45,2021-04-23 14:55:28,0 days 00:00:43
zoom.us,2021-04-23 15:00:19,2021-04-23 15:00:41,0 days 00:00:22
Google Chrome,2021-04-23 15:00:46,2021-04-23 15:03:00,0 days 00:02:14
Google Chrome,2021-04-23 15:03:00,2021-04-23 15:21:11,0 days 00:18:11
Google Chrome,2021-04-23 15:21:17,2021-04-23 15:21:39,0 days 00:00:22
zoom.us,2021-04-23 15:21:43,2021-04-23 15:25:41,0 days 00:03:58
Google Chrome,2021-04-23 15:25:44,2021-04-23 15:35:06,0 days 00:09:22
Microsoft Outlook,2021-04-23 15:35:10,2021-04-23 15:35:27,0 days 00:00:17
Google Chrome,2021-04-23 15:35:27,2021-04-23 15:44:50,0 days 00:09:23
Google Chrome,2021-04-23 15:41:12,2021-04-23 15:41:24,0 days 00:00:12
Gitter,2021-04-23 15:41:46,2021-04-23 15:42:10,0 days 00:00:24
zoom.us,2021-04-23 15:46:09,2021-04-23 15:46:27,0 days 00:00:18
Google Chrome,2021-04-23 15:47:04,2021-04-23 16:02:39,0 days 00:15:35
Gitter,2021-04-23 16:02:45,2021-04-23 16:04:00,0 days 00:01:15
Microsoft Outlook,2021-04-23 16:02:59,2021-04-23 16:09:09,0 days 00:06:10
zoom.us,2021-04-23 16:09:28,2021-04-23 16:10:09,0 days 00:00:41
Slack,2021-04-23 16:10:44,2021-04-23 16:11:14,0 days 00:00:30
Google Chrome,2021-04-23 16:12:39,2021-04-23 16:13:45,0 days 00:01:06
Microsoft Outlook,2021-04-23 16:13:46,2021-04-23 16:27:03,0 days 00:13:17
Microsoft Outlook,2021-04-23 16:27:09,2021-04-23 16:27:47,0 days 00:00:38
Microsoft Outlook,2021-04-23 16:27:47,2021-04-23 16:29:50,0 days 00:02:03
Slack,2021-04-23 16:29:50,2021-04-23 16:30:16,0 days 00:00:26
Microsoft Outlook,2021-04-23 16:30:24,2021-04-23 16:35:46,0 days 00:05:22
Slack,2021-04-23 16:32:21,2021-04-23 16:34:20,0 days 00:01:59
Slack,2021-04-23 16:34:06,2021-04-23 16:34:40,0 days 00:00:34
Slack,2021-04-23 16:34:40,2021-04-23 16:35:07,0 days 00:00:27
Slack,2021-04-23 16:35:15,2021-04-23 16:35:38,0 days 00:00:23
Slack,2021-04-23 16:35:39,2021-04-23 16:36:00,0 days 00:00:21
Slack,2021-04-23 16:36:00,2021-04-23 16:36:24,0 days 00:00:24
Slack,2021-04-23 16:36:25,2021-04-23 16:37:00,0 days 00:00:35
Slack,2021-04-23 16:37:00,2021-04-23 16:37:25,0 days 00:00:25
Slack,2021-04-23 16:37:25,2021-04-23 16:37:48,0 days 00:00:23
Slack,2021-04-23 16:37:49,2021-04-23 16:38:16,0 days 00:00:27
Slack,2021-04-23 16:38:16,2021-04-23 16:38:38,0 days 00:00:22
Toggl Track,2021-04-23 16:42:24,2021-04-23 16:45:03,0 days 00:02:39
Google Chrome,2021-04-23 16:45:26,2021-04-23 16:45:38,0 days 00:00:12
Google Chrome,2021-04-23 16:45:47,2021-04-23 16:46:07,0 days 00:00:20
zoom.us,2021-04-23 16:46:10,2021-04-23 16:53:36,0 days 00:07:26
Toggl Track,2021-04-23 16:46:55,2021-04-23 16:48:58,0 days 00:02:03
Todoist,2021-04-23 16:49:04,2021-04-23 16:49:36,0 days 00:00:32
Slack,2021-04-23 16:49:25,2021-04-23 16:49:38,0 days 00:00:13
System Preferences,2021-04-23 16:56:57,2021-04-23 16:57:56,0 days 00:00:59
zoom.us,2021-04-23 16:57:36,2021-04-23 16:58:22,0 days 00:00:46
zoom.us,2021-04-23 16:58:55,2021-04-23 17:00:58,0 days 00:02:03
Toggl Track,2021-04-30 18:14:06,2021-04-30 18:14:16,0 days 00:00:10
Slack,2021-04-30 20:08:34,2021-04-30 20:08:47,0 days 00:00:13
Slack,2021-04-30 20:08:51,2021-04-30 20:09:12,0 days 00:00:21
Google Chrome,2021-04-30 20:09:15,2021-04-30 20:09:38,0 days 00:00:23
Google Chrome,2021-04-30 20:09:44,2021-04-30 20:09:59,0 days 00:00:15
Google Chrome,2021-04-30 20:10:07,2021-04-30 20:10:25,0 days 00:00:18
Google Chrome,2021-04-30 20:10:25,2021-04-30 20:10:50,0 days 00:00:25
Google Chrome,2021-04-30 20:10:56,2021-04-30 20:11:21,0 days 00:00:25
Google Chrome,2021-04-30 20:11:37,2021-04-30 20:11:56,0 days 00:00:19
Google Chrome,2021-04-30 20:11:57,2021-04-30 20:12:14,0 days 00:00:17
Google Chrome,2021-04-30 20:12:29,2021-04-30 20:12:46,0 days 00:00:17
Google Chrome,2021-04-30 20:13:39,2021-04-30 20:13:58,0 days 00:00:19
Google Chrome,2021-04-30 20:13:58,2021-04-30 20:14:17,0 days 00:00:19
Google Chrome,2021-04-30 20:14:17,2021-04-30 20:15:28,0 days 00:01:11
